iter	Passed	Remaining
586	1849	1301
587	1852	1297
588	1855	1294
589	1858	1291
590	1861	1288
591	1864	1285
592	1867	1281
593	1871	1278
594	1874	1275
595	1877	1272
596	1880	1269
597	1883	1266
598	1886	1263
599	1889	1259
600	1892	1256
601	1896	1253
602	1899	1250
603	1902	1247
604	1905	1243
605	1908	1240
606	1911	1237
607	1914	1234
608	1917	1231
609	1921	1228
610	1924	1225
611	1927	1221
612	1930	1218
613	1933	1215
614	1936	1212
615	1939	1209
616	1943	1206
617	1946	1203
618	1949	1200
619	1953	1197
620	1956	1193
621	1959	1190
622	1962	1187
623	1966	1184
624	1969	1181
625	1972	1178
626	1975	1175
627	1978	1172
628	1982	1169
629	1985	1165
630	1988	1162
631	1991	1159
632	1994	1156
633	1997	1153
634	2000	1149
635	2003	1146
636	2006	1143
637	2009	1140
638	2012	1137
639	2016	1134
640	2019	1130
641	2022	1127
642	2024	1124
643	2027	1120
644	2030	1117
645	2033	1114
646	2036	1111
647	2039	1107
648	2042	1104
649	2045	1101
650	2048	1098
651	2051	1095
652	2054	1091
653	2058	1088
654	2061	1085
655	2064	1082
656	2067	1079
657	2070	1076
658	2073	1072
659	2076	1069
660	2080	1066
661	2083	1063
662	2086	1060
663	2089	1057
664	2092	1054
665	2095	1050
666	2098	1047
667	2101	1044
668	2104	1041
669	2107	1038
670	2110	1034
671	2113	1031
672	2116	1028
673	2120	1025
674	2123	1022
675	2126	1019
676	2129	1016
677	2133	1013
678	2136	1009
679	2139	1006
680	2142	1003
681	2145	1000
682	2148	997
683	2152	994
684	2155	991
685	2159	988
686	2162	985
687	2165	982
688	2168	978
689	2171	975
690	2174	972
691	2177	969
692	2180	966
693	2183	962
694	2187	959
695	2190	956
696	2193	953
697	2196	950
698	2199	947
699	2202	943
700	2205	940
701	2208	937
702	2211	934
703	2215	931
704	2219	928
705	2222	925
706	2225	922
707	2228	919
708	2231	915
709	2234	912
710	2238	909
711	2241	906
712	2244	903
713	2247	900
714	2250	897
715	2253	893
716	2257	890
717	2260	887
718	2263	884
719	2266	881
720	2269	878
721	2272	875
722	2275	871
723	2278	868
724	2281	865
725	2284	862
726	2287	858
727	2289	855
728	2292	852
729	2295	849
730	2298	846
731	2301	842
732	2304	839
733	2307	836
734	2310	833
735	2314	830
736	2317	826
737	2320	823
738	2323	820
739	2326	817
740	2329	814
741	2332	811
742	2336	808
743	2339	804
744	2342	801
745	2346	798
746	2349	795
747	2352	792
748	2355	789
749	2358	786
750	2361	783
751	2364	779
752	2367	776
753	2370	773
754	2374	770
755	2377	767
756	2380	764
757	2383	761
758	2387	757
759	2390	754
760	2393	751
761	2396	748
762	2400	745
763	2403	742
764	2406	739
765	2409	736
766	2412	732
767	2415	729
768	2419	726
769	2421	723
770	2424	720
771	2427	717
772	2430	713
773	2433	710
774	2436	707
775	2439	704
776	2442	701
777	2445	697
778	2448	694
779	2451	691
780	2454	688
781	2457	685
782	2460	682
783	2463	678
784	2467	675
785	2469	672
786	2472	669
787	2475	666
788	2479	662
789	2482	659
790	2485	656
791	2488	653
792	2491	650
793	2495	647
794	2498	644
795	2501	641
796	2504	637
797	2508	634
798	2511	631
799	2514	628
800	2517	625
801	2520	622
802	2524	619
803	2527	616
804	2530	612
805	2533	609
806	2536	606
807	2539	603
808	2542	600
809	2545	596
810	2547	593
811	2550	590
812	2553	587
813	2557	584
814	2560	581
815	2563	578
816	2567	575
817	2570	571
818	2573	568
819	2576	565
820	2579	562
821	2582	559
822	2585	556
823	2589	553
824	2592	549
825	2595	546
826	2598	543
827	2601	540
828	2604	537
829	2607	534
830	2610	530
831	2613	527
832	2616	524
833	2619	521
834	2622	518
835	2625	515
836	2628	511
837	2631	508
838	2635	505
839	2638	502
840	2641	499
841	2644	496
842	2648	493
843	2651	490
844	2654	486
845	2657	483
846	2660	480
847	2663	477
848	2666	474
849	2669	471
850	2672	467
851	2675	464
852	2677	461
853	2680	458
854	2684	455
855	2687	452
856	2690	448
857	2693	445
858	2696	442
859	2699	439
860	2702	436
861	2706	433
862	2709	430
863	2712	426
864	2715	423
865	2718	420
866	2721	417
867	2724	414
868	2727	411
869	2730	408
870	2733	404
871	2736	401
872	2739	398
873	2742	395
874	2745	392
875	2747	388
876	2750	385
877	2753	382
878	2756	379
879	2759	376
880	2763	373
881	2766	370
882	2770	367
883	2773	363
884	2776	360
885	2779	357
886	2783	354
887	2786	351
888	2789	348
889	2792	345
890	2795	341
891	2798	338
892	2801	335
893	2804	332
894	2807	329
895	2810	326
896	2814	323
897	2817	320
898	2820	316
899	2823	313
900	2826	310
901	2830	307
902	2833	304
903	2836	301
904	2839	298
905	2842	294
906	2845	291
907	2848	288
908	2851	285
909	2854	282
910	2857	279
911	2860	276
912	2863	272
913	2867	269
914	2870	266
915	2873	263
916	2876	260
917	2880	257
918	2883	254
919	2886	250
920	2889	247
921	2892	244
922	2895	241
923	2899	238
924	2902	235
925	2905	232
926	2908	229
927	2911	225
928	2914	222
929	2917	219
930	2920	216
931	2923	213
932	2926	210
933	2929	207
934	2932	203
935	2935	200
936	2939	197
937	2942	194
938	2945	191
939	2948	188
940	2952	185
941	2955	181
942	2958	178
943	2962	175
944	2965	172
945	2969	169
946	2972	166
947	2975	163
948	2978	160
949	2981	156
950	2984	153
951	2988	150
952	2991	147
953	2994	144
954	2997	141
955	3000	138
956	3004	134
957	3007	131
958	3010	128
959	3013	125
960	3016	122
961	3019	119
962	3022	116
963	3025	112
964	3028	109
965	3031	106
966	3034	103
967	3036	100
968	3039	97
969	3042	94
970	3045	90
971	3048	87
972	3051	84
973	3054	81
974	3057	78
975	3060	75
976	3063	72
977	3066	68
978	3069	65
979	3073	62
980	3076	59
981	3080	56
982	3083	53
983	3086	50
984	3089	47
985	3092	43
986	3095	40
987	3098	37
988	3101	34
989	3104	31
990	3107	28
991	3110	25
992	3113	21
993	3116	18
994	3119	15
995	3123	12
996	3126	9
997	3129	6
998	3132	3
999	3135	0
