iter	RMSE
285	17067.98108
286	17053.99501
287	17045.28848
288	17035.88855
289	17027.29464
290	16996.37465
291	16983.42674
292	16977.63048
293	16972.00847
294	16958.29917
295	16929.5246
296	16920.65902
297	16910.60241
298	16904.308
299	16890.65798
300	16884.95743
301	16867.98353
302	16839.87843
303	16832.16549
304	16816.29251
305	16790.24427
306	16762.96787
307	16756.11893
308	16736.80822
309	16730.62196
310	16708.52723
311	16691.74339
312	16672.64223
313	16654.11176
314	16647.27096
315	16616.0946
316	16592.7422
317	16582.94054
318	16578.04658
319	16562.26405
320	16542.45264
321	16519.54308
322	16511.54353
323	16491.01499
324	16472.51147
325	16450.69056
326	16420.48422
327	16404.20404
328	16381.78755
329	16365.77091
330	16338.69458
331	16310.22446
332	16289.69404
333	16264.73247
334	16249.86237
335	16239.69076
336	16233.9788
337	16210.93885
338	16190.22482
339	16162.28417
340	16136.06092
341	16131.75196
342	16120.3579
343	16097.72004
344	16075.16469
345	16039.30274
346	16016.41538
347	15988.40788
348	15969.25447
349	15948.65378
350	15925.07771
351	15907.48163
352	15883.71044
353	15855.93985
354	15839.85703
355	15824.25022
356	15805.63067
357	15774.95483
358	15754.25628
359	15750.25594
360	15727.76211
361	15714.43644
362	15710.49742
363	15686.89004
364	15676.23397
365	15650.8211
366	15633.62136
367	15602.02157
368	15592.37468
369	15564.19747
370	15552.543
371	15528.41319
372	15523.96086
373	15520.29706
374	15503.20148
375	15492.48037
376	15466.27587
377	15442.7564
378	15419.95647
379	15395.11634
380	15370.74023
381	15348.30334
382	15325.14689
383	15301.45812
384	15284.63568
385	15258.68619
386	15245.21095
387	15216.92327
388	15211.59839
389	15188.14478
390	15174.78397
391	15158.06781
392	15135.27404
393	15122.96074
394	15102.8335
395	15094.82755
396	15079.94201
397	15075.8608
398	15055.30903
399	15037.1037
400	15032.72777
401	15012.39289
402	15008.02143
403	14988.23837
404	14971.13619
405	14955.89814
406	14927.48274
407	14909.75724
408	14891.72535
409	14874.81984
410	14856.27501
411	14834.69905
412	14814.4994
413	14787.19878
414	14770.03104
415	14748.3096
416	14744.65233
417	14720.17119
418	14708.50911
419	14691.16636
420	14683.21327
421	14665.43232
422	14661.95507
423	14639.19453
424	14626.79443
425	14610.9121
426	14599.68571
427	14579.50106
428	14564.8671
429	14555.14036
430	14525.36618
431	14502.96979
432	14491.19993
433	14473.13599
434	14457.2555
435	14442.2017
436	14418.67676
437	14400.04874
438	14384.50363
439	14361.73153
440	14334.60806
441	14310.09143
442	14294.21922
443	14265.51747
444	14255.69291
445	14233.42178
446	14213.60568
447	14192.77725
448	14171.63243
449	14156.28263
450	14146.08275
451	14130.18419
452	14113.91203
453	14103.3267
454	14092.93092
455	14072.26885
456	14053.20487
457	14035.32773
458	14019.01327
459	13999.41183
460	13989.02041
461	13978.91995
462	13962.99081
463	13946.40681
464	13930.51867
465	13925.91611
466	13902.74585
467	13895.02547
468	13889.10497
469	13864.14953
470	13846.99176
471	13826.15826
472	13813.28682
473	13796.11894
474	13779.69009
475	13764.79151
476	13749.65007
477	13737.64735
478	13718.62432
479	13700.85367
480	13684.46163
481	13671.27856
482	13659.365
483	13643.35843
484	13633.78897
485	13616.46517
486	13613.19991
487	13596.45892
488	13583.74765
489	13567.58193
490	13560.18703
491	13550.9314
492	13537.55094
493	13520.34001
494	13508.8412
495	13492.62826
496	13489.50984
497	13473.8867
498	13456.544
499	13453.45557
500	13433.20313
501	13427.81855
502	13419.35011
503	13385.63014
504	13368.49578
505	13355.38179
506	13337.70109
507	13322.39572
508	13305.26206
509	13292.3127
510	13279.68677
511	13270.19975
512	13254.44696
513	13232.79829
514	13210.83253
515	13194.85566
516	13186.40231
517	13177.12034
518	13163.1557
519	13146.31315
520	13131.01203
521	13109.93896
522	13094.53717
523	13079.14315
524	13070.9985
525	13050.40427
526	13034.5338
527	13014.6288
528	13009.21101
529	12992.21782
530	12976.97944
531	12959.18182
532	12944.89686
533	12933.35743
534	12925.46933
535	12906.34356
536	12896.79648
537	12876.15227
538	12873.58358
539	12862.02559
540	12849.68679
541	12841.98164
542	12827.33552
543	12810.14478
544	12791.11087
545	12781.00728
546	12764.14393
547	12748.4164
548	12734.73775
549	12721.09738
550	12713.54595
551	12705.10651
552	12696.27257
553	12684.92317
554	12665.403
555	12658.03707
556	12654.27407
557	12637.59307
558	12624.06209
559	12612.13661
560	12604.66027
561	12585.44063
562	12571.50585
563	12565.52137
564	12547.30499
565	12532.02185
566	12511.77414
567	12500.17408
568	12489.40291
569	12477.29446
570	12461.25457
571	12444.34819
572	12438.16163
573	12425.67619
574	12417.64031
575	12397.18561
576	12395.43454
577	12380.01546
578	12363.84204
579	12349.91688
580	12333.58764
581	12325.93848
582	12315.20781
583	12312.83649
584	12295.3769
585	12283.77238
586	12275.30273
587	12264.15654
588	12244.08889
589	12229.48476
590	12222.44839
591	12212.02061
592	12204.12278
593	12190.32224
594	12181.73328
595	12168.30348
596	12161.76649
597	12152.16771
598	12143.25322
599	12138.50143
600	12124.07803
601	12096.5209
602	12081.78696
603	12065.68448
604	12050.30326
605	12039.8263
606	12028.12247
607	12025.53968
608	12011.66747
609	11999.39216
610	11991.73062
611	11985.93357
612	11979.42199
613	11960.43901
614	11943.85116
615	11932.23115
616	11915.42897
617	11899.95809
618	11877.914
619	11862.96569
620	11856.27371
621	11845.17002
622	11824.67249
623	11807.85383
624	11801.55921
625	11791.48872
626	11780.66721
627	11770.82624
628	11762.28728
629	11744.99597
630	11740.51418
631	11730.46182
632	11714.11506
633	11699.45962
634	11693.92364
635	11682.68598
636	11672.02265
637	11658.83393
638	11647.63914
639	11630.54313
640	11622.73163
641	11616.66884
642	11604.49732
643	11590.93601
644	11574.51266
645	11564.39566
646	11537.67047
647	11526.04588
648	11518.00801
649	11504.63807
650	11493.51099
651	11480.07115
652	11469.70382
653	11461.1252
654	11452.77854
655	11424.59283
656	11412.17147
657	11397.57027
658	11390.07696
659	11380.59916
660	11369.26629
661	11357.0869
662	11342.23074
663	11333.7358
664	11329.40273
665	11327.05602
666	11321.34339
667	11310.96397
668	11309.64255
669	11290.94119
670	11280.73791
671	11267.10216
672	11257.83154
673	11247.06057
674	11238.80407
675	11232.13203
676	11220.06221
677	11210.48577
678	11195.45608
679	11184.3436
680	11171.85697
681	11154.8843
682	11147.56124
683	11142.86106
684	11133.03201
685	11119.04278
686	11110.10554
687	11098.60962
688	11085.71207
689	11078.19218
690	11065.08552
691	11057.59875
692	11046.82212
693	11036.2324
694	11030.61049
695	11014.95021
696	11001.09071
697	10994.97496
698	10984.46101
699	10972.5973
700	10961.59099
701	10949.89234
702	10941.06559
703	10931.58078
704	10922.44174
705	10916.30628
706	10907.13903
707	10905.63275
708	10892.33903
709	10871.25282
710	10860.90648
711	10839.37981
712	10830.27463
713	10816.4873
714	10802.23417
715	10801.21016
716	10791.49598
717	10781.60575
718	10771.4672
719	10757.11446
720	10750.16693
721	10740.11325
722	10739.05853
723	10724.70283
724	10714.50195
725	10694.16021
726	10675.20515
727	10662.85816
728	10649.02601
729	10638.80735
730	10631.06741
731	10629.97816
732	10612.80494
733	10604.45489
734	10591.52688
735	10590.4592
736	10585.4298
737	10577.97143
738	10568.26153
739	10550.92355
740	10539.44409
741	10525.60691
742	10516.06798
743	10508.19006
744	10500.40042
745	10491.75409
746	10485.08925
747	10476.71583
748	10462.83594
749	10461.79667
750	10450.67276
751	10441.36384
752	10431.22608
753	10422.2394
754	10413.48134
755	10401.88352
756	10390.16762
757	10380.74069
758	10374.4931
759	10365.18023
760	10354.53128
761	10343.67177
762	10342.70159
763	10336.84357
764	10325.02333
765	10315.32436
766	10307.41587
767	10306.4695
768	10300.71528
769	10299.83118
770	10282.60483
771	10265.87975
772	10253.00281
773	10247.49672
774	10233.90005
775	10223.12332
776	10222.16078
777	10213.73852
778	10208.83076
779	10206.09376
780	10190.20262
781	10181.63826
782	10180.76792
783	10173.40806
784	10165.17989
785	10164.26243
786	10154.66844
787	10142.63585
788	10128.82551
789	10127.92047
790	10117.43683
791	10107.32735
792	10098.38204
793	10087.90905
794	10075.42334
795	10064.77245
796	10057.83364
797	10044.85439
798	10042.00813
799	10033.68705
800	10023.51603
801	10010.24964
802	10002.10508
803	9993.773549
804	9987.036657
805	9976.256753
806	9960.374939
807	9950.898024
808	9940.61151
809	9937.767978
810	9926.946458
811	9916.70273
812	9915.731268
813	9900.744467
814	9893.757326
815	9884.273802
816	9871.598751
817	9866.844667
818	9861.11006
819	9853.41658
820	9844.522742
821	9835.011793
822	9825.132389
823	9815.876446
824	9815.129173
825	9799.730034
826	9792.429824
827	9791.26214
828	9789.677709
829	9779.935149
830	9768.501062
831	9758.72132
832	9753.822971
833	9741.751012
834	9740.966725
835	9735.065071
836	9727.278912
837	9721.707189
838	9720.679578
839	9718.842565
840	9712.281001
841	9703.715059
842	9694.097801
843	9687.71223
844	9679.666311
845	9669.079372
846	9652.64788
847	9647.898423
848	9646.903111
849	9640.903255
850	9628.285688
851	9619.850541
852	9619.013106
853	9609.220046
854	9599.348064
855	9589.115261
856	9580.706574
857	9574.199566
858	9566.024447
859	9559.532584
860	9552.110037
861	9544.866612
862	9528.303086
863	9520.13098
864	9516.05975
865	9503.982666
866	9497.575552
867	9488.768534
868	9486.496293
869	9472.535026
870	9466.009412
871	9456.20877
872	9455.28168
873	9448.588373
874	9438.33217
875	9427.359973
876	9416.256743
877	9406.782259
878	9397.985027
879	9390.698745
880	9386.650136
881	9380.657369
882	9374.105785
883	9361.789671
884	9357.441474
885	9350.024373
886	9342.56722
887	9335.155435
888	9323.917241
889	9323.10457
890	9319.548437
891	9308.541311
892	9301.660583
893	9291.811577
894	9283.227485
895	9271.363495
896	9257.28809
897	9245.796207
898	9240.70929
899	9229.225613
900	9228.38562
901	9220.570472
902	9210.490955
903	9202.447397
904	9198.750362
905	9195.191693
906	9187.413655
907	9186.687304
908	9170.342749
909	9162.75992
910	9153.305357
911	9140.756995
912	9131.320408
913	9119.274068
914	9115.326558
915	9108.995465
916	9101.735032
917	9090.225497
918	9084.982153
919	9077.422482
920	9076.598542
921	9073.065167
922	9066.632911
923	9060.295999
924	9054.068411
925	9039.299945
926	9033.682651
927	9024.41116
928	9013.487397
929	9002.090523
930	8995.594921
931	8988.641609
932	8987.995878
933	8981.536653
934	8975.346805
935	8970.459476
936	8965.550218
937	8964.710844
938	8956.749502
939	8948.597226
940	8938.240321
941	8933.751866
942	8924.793285
943	8920.397733
944	8908.143397
945	8897.183276
946	8888.622724
947	8880.834507
948	8880.158973
949	8874.233603
950	8869.703546
951	8856.725711
952	8848.118714
953	8841.675026
954	8836.233988
955	8825.278131
956	8816.016607
957	8813.164941
958	8808.250453
959	8802.279991
960	8787.781164
961	8785.657152
962	8785.001842
963	8775.897806
964	8766.343786
965	8757.845017
966	8746.636803
967	8743.58555
968	8742.844422
969	8736.161841
970	8727.873181
971	8720.45767
972	8715.392269
973	8712.700156
974	8701.913686
975	8701.193607
976	8690.754521
977	8684.728863
978	8680.604267
979	8667.599214
980	8659.2472
981	8647.438956
982	8635.993584
983	8625.57406
984	8622.30743
985	8615.717948
986	8611.180866
987	8608.779864
988	8606.385629
989	8599.65188
990	8592.59524
991	8585.037202
992	8579.789313
993	8569.692961
994	8563.815229
995	8558.154229
996	8549.041036
997	8538.255557
998	8532.808648
999	8531.133491
